2020-10-23,ABT,Abbott Laboratories,123.59,+3.20,+2.66%,10995000,5085000,219046000000
2020-10-23,EBAY,eBay Inc.,56.51,+0.07,+0.12%,10923000,8684000,38955000000
2020-10-23,WMT,Walmart Inc.,140.49,-3.26,-2.27%,10836000,7495000,397487000000
2020-10-23,DIS,The Walt Disney Company,168.17,-3.71,-2.16%,12227000,12125000,305104000000
2020-10-23,TWNK,"Hostess Brands, Inc.",15.35,+1.08,+7.57%,10603000,1452000,2007000000
2020-10-23,PINS,"Pinterest, Inc.",68.51,0.00,0.00%,10626000,12033000,42344000000
2020-10-23,CGC,Canopy Growth Corporation,40.07,-0.26,-0.64%,10671000,7132000,14909000000
2020-10-23,BEN,"Franklin Resources, Inc.",26.29,-1.44,-5.19%,8145000,3860000,13300000000
2020-10-23,WBA,"Walgreens Boots Alliance, Inc.",50.25,-0.43,-0.85%,10489000,8431000,43418000000
2020-10-23,LVS,Las Vegas Sands Corp.,48.09,-0.99,-2.02%,11105000,5613000,36732000000
2020-10-23,PCG,PG&E Corporation,11.43,-0.13,-1.12%,10416000,15906000,22684000000
2020-10-23,OTIS,Otis Worldwide Corporation,64.65,+0.82,+1.28%,10353000,2167000,28006000000
2020-10-23,UMC,United Microelectronics Corporation,9.05,-0.23,-2.48%,10095000,6261000,22227000000
2020-10-23,TEVA,Teva Pharmaceutical Industries Limited,11.78,-0.47,-3.84%,10094000,9236000,13574000000
2020-10-23,DVN,Devon Energy Corporation,16.46,-0.74,-4.30%,10817000,12599000,11079000000
2020-10-23,PYPL,"PayPal Holdings, Inc.",234.31,-3.48,-1.46%,9806000,9039000,274539000000
2020-10-23,GSX,GSX Techedu Inc.,105.01,+0.25,+0.24%,9635000,5676000,25060000000
2020-10-23,JD,"JD.com, Inc.",88.69,-2.72,-2.98%,10480000,12929000,138725000000
2020-10-23,MO,"Altria Group, Inc.",41.08,-1.57,-3.68%,11869000,9515000,76344000000
2020-10-23,KIM,Kimco Realty Corporation,16.51,-0.99,-5.66%,12814000,5134000,7141000000
2020-10-23,SQ,"Square, Inc.",215.96,-3.95,-1.80%,9384000,10011000,97384000000
2020-10-23,ABBV,AbbVie Inc.,102.48,-1.73,-1.66%,9376000,8246000,180860000000
2020-10-23,SYF,Synchrony Financial,33.65,-2.24,-6.24%,9288000,5233000,19645000000
2020-10-23,WMB,"The Williams Companies, Inc.",21.23,-0.23,-1.07%,9254000,9671000,25765000000
2020-10-23,BILI,Bilibili Inc.,113.89,-5.11,-4.29%,9741000,6241000,39341000000
2020-10-23,SWKS,"Skyworks Solutions, Inc.",169.25,+9.46,+5.92%,9055000,2244000,27909000000
2020-10-23,TME,Tencent Music Entertainment Group,26.6,-0.24,-0.89%,9115000,11306000,44622000000
2020-10-23,JBLU,JetBlue Airways Corporation,14.34,-0.31,-2.12%,9490000,9716000,4509000000
2020-10-23,DOW,Dow Inc.,51.9,-2.48,-4.56%,7831000,4163999.9999999995,38572000000
2020-10-23,AGNC,AGNC Investment Corp.,15.6,-0.22,-1.39%,8854000,6787000,8416000000
2020-10-23,LUV,Southwest Airlines Co.,43.94,-0.66,-1.48%,8861000,8435000,25945000000
